second, CPU_Usage, Miss_Count, QoS
0, 88.2402, -nan, -nan
1, 98.8636, -nan, -nan
2, 100, -nan, -nan
3, 100, -nan, -nan
4, 97.9167, -nan, -nan
5, 100, -nan, -nan
6, 97.9167, -nan, -nan
7, 100, -nan, -nan
8, 98.9583, -nan, -nan
9, 98.9583, -nan, -nan
10, 98.9583, -nan, -nan
11, 98.8636, -nan, -nan
12, 98.9583, -nan, -nan
13, 98.9583, -nan, -nan
14, 98.9583, -nan, -nan
15, 100, -nan, -nan
16, 98.8636, -nan, -nan
17, 100, -nan, -nan
18, 100, -nan, -nan
19, 98.9583, -nan, -nan
20, 98.9583, -nan, -nan
21, 98.8636, -nan, -nan
22, 98.9583, -nan, -nan
23, 100, -nan, -nan
24, 100, -nan, -nan
25, 100, -nan, -nan
26, 100, -nan, -nan
27, 97.9167, -nan, -nan
28, 100, -nan, -nan
29, 97.7273, -nan, -nan
30, 98.8636, -nan, -nan
31, 100, -nan, -nan
32, 97.9167, -nan, -nan
33, 98.8636, -nan, -nan
34, 100, -nan, -nan
35, 97.9167, -nan, -nan
36, 100, -nan, -nan
37, 98.8636, -nan, -nan
38, 100, -nan, -nan
39, 98.8636, -nan, -nan
40, 100, -nan, -nan
41, 98.9583, -nan, -nan
42, 100, -nan, -nan
43, 96.875, -nan, -nan
44, 98.8636, -nan, -nan
45, 100, -nan, -nan
46, 100, -nan, -nan
47, 98.9583, -nan, -nan
48, 100, -nan, -nan
49, 98.8636, -nan, -nan
50, 98.9583, -nan, -nan
51, 100, -nan, -nan
52, 97.9167, -nan, -nan
53, 100, -nan, -nan
54, 98.9583, -nan, -nan
55, 100, -nan, -nan
56, 98.8636, -nan, -nan
57, 100, -nan, -nan
58, 97.9167, -nan, -nan
59, 100, -nan, -nan
60, 97.5, -nan, -nan
61, 100, -nan, -nan
62, 98.9583, -nan, -nan
63, 98.9583, -nan, -nan
64, 98.9583, -nan, -nan
65, 98.8636, -nan, -nan
66, 97.9167, -nan, -nan
67, 100, -nan, -nan
68, 98.8636, -nan, -nan
69, 100, -nan, -nan
70, 100, -nan, -nan
71, 100, -nan, -nan
72, 98.9583, -nan, -nan
73, 98.8636, -nan, -nan
74, 98.9583, -nan, -nan
75, 100, -nan, -nan
76, 100, -nan, -nan
77, 97.9167, -nan, -nan
78, 100, -nan, -nan
79, 100, -nan, -nan
80, 100, -nan, -nan
81, 98.8636, -nan, -nan
82, 98.9583, -nan, -nan
83, 100, -nan, -nan
84, 98.9583, -nan, -nan
85, 100, -nan, -nan
86, 98.9583, -nan, -nan
87, 98.9583, -nan, -nan
88, 100, -nan, -nan
89, 98.9583, -nan, -nan
90, 100, -nan, -nan
91, 98.9583, -nan, -nan
92, 98.9583, -nan, -nan
93, 100, -nan, -nan
94, 100, -nan, -nan
95, 98.9583, -nan, -nan
96, 98.9583, -nan, -nan
97, 100, -nan, -nan
98, 100, -nan, -nan
99, 97.9167, -nan, -nan
