second, CPU_Usage, Miss_Count, QoS
0, 49.3783, 0, 0.005
1, 100, 0, -0.029
2, 100, 0, -0.063
3, 100, 0, -0.097
4, 100, 0, -0.131
5, 100, 0, -0.165
6, 100, 0, -0.199
7, 100, 0, -0.233
8, 100, 0, -0.267
9, 100, 0, -0.301
10, 95.8333, 0, -0.327917
11, 95.8333, 0, -0.354833
12, 100, 0, -0.388833
13, 100, 0, -0.422833
14, 100, 0, -0.456833
15, 100, 0, -0.490833
16, 100, 0, -0.524833
17, 95.4545, 0.1, -0.551106
18, 100, 0.1, -0.585106
19, 100, 0.1, -0.619106
20, 100, 0, -0.653106
21, 93.75, 0, -0.676481
22, 95.4545, 0, -0.702754
23, 95.4545, 0, -0.729026
24, 100, 0, -0.763026
25, 100, 0, -0.797026
26, 100, 0, -0.831026
27, 100, 0, -0.865026
28, 95.8333, 0, -0.891943
29, 95.8333, 0, -0.91886
30, 100, 0, -0.95286
31, 100, 0, -0.98686
32, 100, 0, -1.02086
33, 100, 0, -1.05486
34, 100, 0, -1.08886
35, 100, 0, -1.12286
36, 95, 0.1, -1.14836
37, 100, 0.1, -1.18236
38, 95.8333, 0, -1.20928
39, 100, 0, -1.24328
40, 100, 0, -1.27728
41, 100, 0, -1.31128
42, 100, 0, -1.34528
43, 100, 0.1, -1.37928
44, 100, 0, -1.41328
45, 100, 0, -1.44728
46, 95.4545, 0, -1.47355
47, 100, 0, -1.50755
48, 100, 0.2, -1.54155
49, 95.4545, 0, -1.56782
50, 100, 0, -1.60182
51, 100, 0, -1.63582
52, 100, 0, -1.66982
53, 100, 0, -1.70382
54, 100, 0, -1.73782
55, 100, 0, -1.77182
56, 100, 0, -1.80582
57, 100, 0, -1.83982
58, 96.1538, 0, -1.86728
59, 100, 0, -1.90128
60, 100, 0, -1.93528
61, 95.8333, 0, -1.9622
62, 100, 0, -1.9962
63, 100, 0, -2.0302
64, 100, 0, -2.0642
65, 100, 0, -2.0982
66, 100, 0, -2.1322
67, 100, 0, -2.1662
68, 95.8333, 0, -2.19312
69, 100, 0, -2.22712
70, 100, 0, -2.26112
71, 100, 0, -2.29512
72, 95.8333, 0, -2.32203
73, 100, 0, -2.35603
74, 100, 0, -2.39003
75, 100, 0.2, -2.42403
76, 100, 0.1, -2.45803
77, 100, 0.1, -2.49203
78, 95.8333, 0, -2.51895
79, 95.8333, 0, -2.54587
80, 100, 0, -2.57987
81, 100, 0, -2.61387
82, 100, 0, -2.64787
83, 100, 0.1, -2.68187
84, 95.4545, 0, -2.70814
85, 100, 0.1, -2.74214
86, 100, 0.1, -2.77614
87, 95.8333, 0, -2.80306
88, 100, 0, -2.83706
89, 100, 0, -2.87106
90, 100, 0, -2.90506
91, 100, 0, -2.93906
92, 100, 0, -2.97306
93, 100, 0, -3.00706
94, 96.1538, 0, -3.03452
95, 95.4545, 0, -3.06079
96, 100, 0, -3.09479
97, 95, 0, -3.12029
98, 100, 0, -3.15429
99, 95, 0, -3.17979
