second, CPU_Usage, Miss_Count, QoS
0, 49.335, 0, 0.005
1, 100, 0, -0.029
2, 100, 0, -0.063
3, 100, 0, -0.097
4, 100, 0, -0.131
5, 100, 0, -0.165
6, 95, 0, -0.1905
7, 100, 0, -0.2245
8, 100, 0, -0.2585
9, 100, 0, -0.2925
10, 100, 0, -0.3265
11, 100, 0, -0.3605
12, 100, 0, -0.3945
13, 95.8333, 0, -0.421417
14, 100, 0, -0.455417
15, 100, 0, -0.489417
16, 100, 0, -0.523417
17, 95, 0, -0.548917
18, 100, 0, -0.582917
19, 100, 0.1, -0.616917
20, 100, 0, -0.650917
21, 100, 0, -0.684917
22, 96.4286, 0.1, -0.712845
23, 100, 0, -0.746845
24, 100, 0, -0.780845
25, 100, 0, -0.814845
26, 100, 0, -0.848845
27, 95.4545, 0, -0.875118
28, 100, 0, -0.909118
29, 100, 0, -0.943118
30, 100, 0, -0.977118
31, 100, 0, -1.01112
32, 100, 0, -1.04512
33, 100, 0, -1.07912
34, 100, 0, -1.11312
35, 95.4545, 0, -1.13939
36, 100, 0, -1.17339
37, 100, 0, -1.20739
38, 95, 0, -1.23289
39, 100, 0, -1.26689
40, 100, 0, -1.30089
41, 100, 0, -1.33489
42, 100, 0, -1.36889
43, 95.4545, 0, -1.39516
44, 100, 0, -1.42916
45, 95, 0, -1.45466
46, 100, 0, -1.48866
47, 100, 0, -1.52266
48, 100, 0.1, -1.55666
49, 100, 0, -1.59066
50, 100, 0, -1.62466
51, 100, 0, -1.65866
52, 100, 0, -1.69266
53, 100, 0, -1.72666
54, 100, 0, -1.76066
55, 100, 0, -1.79466
56, 100, 0.1, -1.82866
57, 100, 0, -1.86266
58, 100, 0, -1.89666
59, 100, 0, -1.93066
60, 100, 0, -1.96466
61, 100, 0, -1.99866
62, 95, 0.1, -2.02416
63, 95, 0.166667, -2.04966
64, 100, 0.133333, -2.08366
65, 100, 0, -2.11766
66, 100, 0, -2.15166
67, 100, 0, -2.18566
68, 100, 0, -2.21966
69, 95, 0, -2.24516
70, 100, 0, -2.27916
71, 100, 0, -2.31316
72, 100, 0, -2.34716
73, 95, 0, -2.37266
74, 100, 0.1, -2.40666
75, 100, 0, -2.44066
76, 100, 0, -2.47466
77, 100, 0.2, -2.50866
78, 100, 0, -2.54266
79, 100, 0, -2.57666
80, 100, 0, -2.61066
81, 100, 0, -2.64466
82, 100, 0, -2.67866
83, 100, 0, -2.71266
84, 100, 0, -2.74666
85, 100, 0, -2.78066
86, 100, 0, -2.81466
87, 100, 0, -2.84866
88, 100, 0, -2.88266
89, 100, 0, -2.91666
90, 95, 0, -2.94216
91, 100, 0, -2.97616
92, 100, 0, -3.01016
93, 100, 0, -3.04416
94, 100, 0, -3.07816
95, 100, 0, -3.11216
96, 100, 0, -3.14616
97, 100, 0, -3.18016
98, 100, 0.1, -3.21416
99, 100, 0, -3.24816
