second, CPU_Usage, Miss_Count, QoS
0, 88.2462, -nan, -nan
1, 100, -nan, -nan
2, 98.8636, -nan, -nan
3, 98.8636, -nan, -nan
4, 98.9583, -nan, -nan
5, 98.8636, -nan, -nan
6, 100, -nan, -nan
7, 98.9583, -nan, -nan
8, 98.9583, -nan, -nan
9, 98.9583, -nan, -nan
10, 98.8636, -nan, -nan
11, 98.9583, -nan, -nan
12, 100, -nan, -nan
13, 98.8636, -nan, -nan
14, 100, -nan, -nan
15, 100, -nan, -nan
16, 97.9167, -nan, -nan
17, 100, -nan, -nan
18, 98.9583, -nan, -nan
19, 100, -nan, -nan
20, 100, -nan, -nan
21, 100, -nan, -nan
22, 100, -nan, -nan
23, 98.9583, -nan, -nan
24, 100, -nan, -nan
25, 97.7273, -nan, -nan
26, 98.9583, -nan, -nan
27, 100, -nan, -nan
28, 98.8636, -nan, -nan
29, 98.9583, -nan, -nan
30, 98.9583, -nan, -nan
31, 98.8636, -nan, -nan
32, 98.9583, -nan, -nan
33, 98.8636, -nan, -nan
34, 100, -nan, -nan
35, 97.9167, -nan, -nan
36, 100, -nan, -nan
37, 98.8636, -nan, -nan
38, 97.9167, -nan, -nan
39, 98.9583, -nan, -nan
40, 98.9583, -nan, -nan
41, 98.8636, -nan, -nan
42, 100, -nan, -nan
43, 98.9583, -nan, -nan
44, 98.9583, -nan, -nan
45, 100, -nan, -nan
46, 98.9583, -nan, -nan
47, 100, -nan, -nan
48, 98.8636, -nan, -nan
49, 98.9583, -nan, -nan
50, 98.9583, -nan, -nan
51, 98.8636, -nan, -nan
52, 98.9583, -nan, -nan
53, 98.9583, -nan, -nan
54, 100, -nan, -nan
55, 97.7273, -nan, -nan
56, 97.9167, -nan, -nan
57, 98.9583, -nan, -nan
58, 100, -nan, -nan
59, 100, -nan, -nan
60, 98.9583, -nan, -nan
61, 98.8636, -nan, -nan
62, 98.9583, -nan, -nan
63, 100, -nan, -nan
64, 98.9583, -nan, -nan
65, 100, -nan, -nan
66, 97.7273, -nan, -nan
67, 100, -nan, -nan
68, 97.9167, -nan, -nan
69, 98.9583, -nan, -nan
70, 100, -nan, -nan
71, 100, -nan, -nan
72, 98.9583, -nan, -nan
73, 100, -nan, -nan
74, 100, -nan, -nan
75, 98.9583, -nan, -nan
76, 100, -nan, -nan
77, 98.9583, -nan, -nan
78, 100, -nan, -nan
79, 98.8636, -nan, -nan
80, 98.9583, -nan, -nan
81, 98.8636, -nan, -nan
82, 100, -nan, -nan
83, 98.9583, -nan, -nan
84, 100, -nan, -nan
85, 98.8636, -nan, -nan
86, 100, -nan, -nan
87, 97.7273, -nan, -nan
88, 98.9583, -nan, -nan
89, 100, -nan, -nan
90, 98.9583, -nan, -nan
91, 98.8636, -nan, -nan
92, 100, -nan, -nan
93, 97.7273, -nan, -nan
94, 100, -nan, -nan
95, 98.9583, -nan, -nan
96, 98.8636, -nan, -nan
97, 100, -nan, -nan
98, 100, -nan, -nan
99, 98.8636, -nan, -nan
