second, CPU_Usage, Miss_Count, QoS
0, 88.2422, -nan, -nan
1, 100, -nan, -nan
2, 100, -nan, -nan
3, 100, -nan, -nan
4, 100, -nan, -nan
5, 98.9583, -nan, -nan
6, 100, -nan, -nan
7, 100, -nan, -nan
8, 100, -nan, -nan
9, 98.9583, -nan, -nan
10, 98.9583, -nan, -nan
11, 100, -nan, -nan
12, 100, -nan, -nan
13, 100, -nan, -nan
14, 98.8636, -nan, -nan
15, 98.9583, -nan, -nan
16, 97.9167, -nan, -nan
17, 100, -nan, -nan
18, 98.8636, -nan, -nan
19, 98.9583, -nan, -nan
20, 98.8636, -nan, -nan
21, 98.8636, -nan, -nan
22, 100, -nan, -nan
23, 97.9167, -nan, -nan
24, 100, -nan, -nan
25, 98.9583, -nan, -nan
26, 97.9167, -nan, -nan
27, 98.9583, -nan, -nan
28, 98.9583, -nan, -nan
29, 100, -nan, -nan
30, 97.9167, -nan, -nan
31, 100, -nan, -nan
32, 100, -nan, -nan
33, 100, -nan, -nan
34, 98.9583, -nan, -nan
35, 100, -nan, -nan
36, 100, -nan, -nan
37, 100, -nan, -nan
38, 98.9583, -nan, -nan
39, 100, -nan, -nan
40, 98.8636, -nan, -nan
41, 97.9167, -nan, -nan
42, 98.9583, -nan, -nan
43, 98.9583, -nan, -nan
44, 98.8636, -nan, -nan
45, 98.9583, -nan, -nan
46, 100, -nan, -nan
47, 100, -nan, -nan
48, 100, -nan, -nan
49, 100, -nan, -nan
50, 97.9167, -nan, -nan
51, 100, -nan, -nan
52, 98.9583, -nan, -nan
53, 100, -nan, -nan
54, 100, -nan, -nan
55, 98.9583, -nan, -nan
56, 100, -nan, -nan
57, 100, -nan, -nan
58, 100, -nan, -nan
59, 98.9583, -nan, -nan
60, 100, -nan, -nan
61, 98.9583, -nan, -nan
62, 100, -nan, -nan
63, 100, -nan, -nan
64, 100, -nan, -nan
65, 100, -nan, -nan
66, 98.9583, -nan, -nan
67, 98.9583, -nan, -nan
68, 100, -nan, -nan
69, 98.9583, -nan, -nan
70, 98.9583, -nan, -nan
71, 98.9583, -nan, -nan
72, 100, -nan, -nan
73, 100, -nan, -nan
74, 98.8636, -nan, -nan
75, 98.9583, -nan, -nan
76, 100, -nan, -nan
77, 98.9583, -nan, -nan
78, 98.9583, -nan, -nan
79, 100, -nan, -nan
80, 98.9583, -nan, -nan
81, 100, -nan, -nan
82, 97.9167, -nan, -nan
83, 100, -nan, -nan
84, 97.9167, -nan, -nan
85, 98.9583, -nan, -nan
86, 100, -nan, -nan
87, 98.8636, -nan, -nan
88, 100, -nan, -nan
89, 98.9583, -nan, -nan
90, 98.9583, -nan, -nan
91, 100, -nan, -nan
92, 100, -nan, -nan
93, 98.9583, -nan, -nan
94, 98.9583, -nan, -nan
95, 98.8636, -nan, -nan
96, 98.9583, -nan, -nan
97, 100, -nan, -nan
98, 100, -nan, -nan
99, 98.9583, -nan, -nan
