second, CPU_Usage, Miss_Count, QoS
0, 49.4055, 0, 0.005
1, 100, 0, -0.029
2, 96.875, 0, -0.0576875
3, 100, 0, -0.0916875
4, 100, 0.160317, -0.125687
5, 96.875, 0.163492, -0.154375
6, 95.4545, 0.139683, -0.180648
7, 95.8333, 0, -0.207564
8, 100, 0, -0.241564
9, 97.5, 0, -0.271314
10, 95.8333, 0, -0.298231
11, 100, 0, -0.332231
12, 100, 0, -0.366231
13, 100, 0, -0.400231
14, 100, 0, -0.434231
15, 100, 0, -0.468231
16, 97.7273, 0, -0.498367
17, 100, 0.166667, -0.532367
18, 100, 0, -0.566367
19, 95, 0, -0.591867
20, 100, 0, -0.625867
21, 100, 0, -0.659867
22, 100, 0, -0.693867
23, 95.4545, 0, -0.72014
24, 100, 0, -0.75414
25, 97.3684, 0, -0.783666
26, 100, 0, -0.817666
27, 97.5, 0, -0.847416
28, 94.4444, 0, -0.871972
29, 97.0588, 0, -0.900972
30, 100, 0, -0.934972
31, 100, 0, -0.968972
32, 100, 0, -1.00297
33, 97.5, 0.0015873, -1.03272
34, 97.5, 0.166667, -1.06247
35, 100, 0.144444, -1.09647
36, 95, 0, -1.12197
37, 100, 0, -1.15597
38, 100, 0, -1.18997
39, 100, 0, -1.22397
40, 100, 0, -1.25797
41, 97.3684, 0, -1.2875
42, 100, 0, -1.3215
43, 97.2222, 0, -1.35078
44, 100, 0, -1.38478
45, 100, 0, -1.41878
46, 100, 0, -1.45278
47, 97.2222, 0, -1.48205
48, 100, 0, -1.51605
49, 97.5, 0, -1.5458
50, 100, 0, -1.5798
51, 100, 0, -1.6138
52, 100, 0, -1.6478
53, 97.2222, 0, -1.67708
54, 100, 0, -1.71108
55, 100, 0, -1.74508
56, 94.4444, 0, -1.76964
57, 100, 0, -1.80364
58, 95, 0, -1.82914
59, 97.2222, 0.157143, -1.85842
60, 100, 0, -1.89242
61, 100, 0.15873, -1.92642
62, 100, 0, -1.96042
63, 100, 0, -1.99442
64, 100, 0, -2.02842
65, 97.9167, 0, -2.05887
66, 100, 0, -2.09287
67, 97.8261, 0.163492, -2.12318
68, 100, 0, -2.15718
69, 100, 0.290476, -2.19118
70, 100, 0, -2.22518
71, 97.7273, 0.149206, -2.25531
72, 100, 0, -2.28931
73, 100, 0, -2.32331
74, 96.4286, 0, -2.35124
75, 100, 0, -2.38524
76, 100, 0, -2.41924
77, 100, 0.0015873, -2.45324
78, 100, 0.176191, -2.48724
79, 100, 0, -2.52124
80, 98.4375, 0.15873, -2.55259
