second, CPU_Usage, Miss_Count, QoS
0, 88.2481, -nan, -nan
1, 97.7273, -nan, -nan
2, 100, -nan, -nan
3, 97.9167, -nan, -nan
4, 100, -nan, -nan
5, 98.8636, -nan, -nan
6, 98.9583, -nan, -nan
7, 100, -nan, -nan
8, 98.8636, -nan, -nan
9, 98.9583, -nan, -nan
10, 100, -nan, -nan
11, 98.8636, -nan, -nan
12, 100, -nan, -nan
13, 98.9583, -nan, -nan
14, 98.9583, -nan, -nan
15, 100, -nan, -nan
16, 98.8636, -nan, -nan
17, 100, -nan, -nan
18, 100, -nan, -nan
19, 98.8636, -nan, -nan
20, 98.9583, -nan, -nan
21, 97.9167, -nan, -nan
22, 100, -nan, -nan
23, 100, -nan, -nan
24, 100, -nan, -nan
25, 100, -nan, -nan
26, 100, -nan, -nan
27, 98.9583, -nan, -nan
28, 98.8636, -nan, -nan
29, 100, -nan, -nan
30, 100, -nan, -nan
31, 98.8636, -nan, -nan
32, 100, -nan, -nan
33, 98.9583, -nan, -nan
34, 100, -nan, -nan
35, 98.9583, -nan, -nan
36, 100, -nan, -nan
37, 98.8636, -nan, -nan
38, 98.9583, -nan, -nan
39, 98.9583, -nan, -nan
40, 97.9167, -nan, -nan
41, 97.9167, -nan, -nan
42, 100, -nan, -nan
43, 100, -nan, -nan
44, 100, -nan, -nan
45, 100, -nan, -nan
46, 97.9167, -nan, -nan
47, 100, -nan, -nan
48, 100, -nan, -nan
49, 100, -nan, -nan
50, 100, -nan, -nan
51, 98.9583, -nan, -nan
52, 98.9583, -nan, -nan
53, 98.8636, -nan, -nan
54, 98.8636, -nan, -nan
55, 97.9167, -nan, -nan
56, 100, -nan, -nan
57, 100, -nan, -nan
58, 98.9583, -nan, -nan
59, 98.8636, -nan, -nan
60, 98.9583, -nan, -nan
61, 100, -nan, -nan
62, 98.9583, -nan, -nan
63, 100, -nan, -nan
64, 98.9583, -nan, -nan
65, 98.9583, -nan, -nan
66, 100, -nan, -nan
67, 98.9583, -nan, -nan
68, 98.9583, -nan, -nan
69, 100, -nan, -nan
70, 98.8636, -nan, -nan
71, 98.9583, -nan, -nan
72, 100, -nan, -nan
73, 100, -nan, -nan
74, 98.9583, -nan, -nan
75, 97.7273, -nan, -nan
76, 97.9167, -nan, -nan
77, 98.9583, -nan, -nan
78, 98.9583, -nan, -nan
79, 98.8636, -nan, -nan
80, 98.9583, -nan, -nan
81, 98.9583, -nan, -nan
82, 98.9583, -nan, -nan
83, 97.9167, -nan, -nan
84, 98.75, -nan, -nan
85, 98.9583, -nan, -nan
86, 100, -nan, -nan
87, 98.9583, -nan, -nan
88, 97.7273, -nan, -nan
89, 100, -nan, -nan
90, 100, -nan, -nan
91, 97.7273, -nan, -nan
92, 100, -nan, -nan
93, 100, -nan, -nan
94, 97.7273, -nan, -nan
95, 98.9583, -nan, -nan
96, 100, -nan, -nan
97, 98.8636, -nan, -nan
98, 100, -nan, -nan
99, 98.9583, -nan, -nan
