second, CPU_Usage, Miss_Count, QoS
0, 49.3568, 0, 0.005
1, 100, 0, -0.029
2, 100, 0, -0.063
3, 93.75, 0, -0.086375
4, 100, 0.1, -0.120375
5, 100, 0, -0.154375
6, 100, 0, -0.188375
7, 95, 0, -0.213875
8, 100, 0, -0.247875
9, 100, 0, -0.281875
10, 100, 0, -0.315875
11, 100, 0, -0.349875
12, 100, 0, -0.383875
13, 100, 0, -0.417875
14, 94.4444, 0, -0.442431
15, 95.4545, 0, -0.468703
16, 100, 0, -0.502703
17, 100, 0.1, -0.536703
18, 93.75, 0, -0.560078
19, 93.75, 0, -0.583453
20, 100, 0, -0.617453
21, 95, 0, -0.642953
22, 100, 0, -0.676953
23, 100, 0, -0.710953
24, 95, 0, -0.736453
25, 100, 0.1, -0.770453
26, 100, 0, -0.804453
27, 100, 0, -0.838453
28, 100, 0, -0.872453
29, 92.8571, 0.1, -0.89431
30, 100, 0, -0.92831
31, 100, 0, -0.96231
32, 100, 0, -0.99631
33, 100, 0, -1.03031
34, 100, 0, -1.06431
35, 100, 0, -1.09831
36, 100, 0, -1.13231
37, 100, 0, -1.16631
38, 100, 0, -1.20031
39, 100, 0, -1.23431
40, 100, 0.1, -1.26831
41, 100, 0, -1.30231
42, 100, 0, -1.33631
43, 100, 0, -1.37031
44, 100, 0, -1.40431
45, 100, 0, -1.43831
46, 100, 0, -1.47231
47, 100, 0, -1.50631
48, 95, 0, -1.53181
49, 100, 0, -1.56581
50, 100, 0, -1.59981
51, 95.4545, 0.1, -1.62608
52, 100, 0, -1.66008
53, 100, 0, -1.69408
54, 95.8333, 0.1, -1.721
55, 100, 0.1, -1.755
56, 95, 0, -1.7805
57, 100, 0, -1.8145
58, 100, 0, -1.8485
59, 100, 0.1, -1.8825
60, 100, 0, -1.9165
61, 100, 0, -1.9505
62, 100, 0, -1.9845
63, 94.4444, 0.1, -2.00906
64, 100, 0, -2.04306
65, 100, 0.1, -2.07706
66, 100, 0, -2.11106
67, 100, 0, -2.14506
68, 100, 0, -2.17906
69, 100, 0, -2.21306
70, 100, 0, -2.24706
71, 100, 0, -2.28106
72, 100, 0, -2.31506
73, 95.4545, 0, -2.34133
74, 100, 0, -2.37533
75, 100, 0, -2.40933
76, 100, 0, -2.44333
77, 95, 0, -2.46883
78, 100, 0, -2.50283
79, 100, 0, -2.53683
80, 94.4444, 0, -2.56138
81, 100, 0, -2.59538
82, 100, 0, -2.62938
83, 100, 0, -2.66338
84, 100, 0, -2.69738
85, 100, 0, -2.73138
86, 95, 0, -2.75688
87, 100, 0, -2.79088
88, 100, 0.1, -2.82488
89, 100, 0.1, -2.85888
90, 100, 0, -2.89288
91, 100, 0, -2.92688
92, 100, 0, -2.96088
93, 95, 0, -2.98638
94, 100, 0.1, -3.02038
95, 100, 0, -3.05438
96, 100, 0, -3.08838
97, 95, 0, -3.11388
98, 100, 0, -3.14788
99, 100, 0, -3.18188
